name	parent	fio	post 
ТИК № 34	Санкт-Петербургская избирательная комиссия	Телишевская Наталия Евгеньевна	Член
ТИК № 34	Санкт-Петербургская избирательная комиссия	Тетов Артур Альверович	Член
ТИК № 34	Санкт-Петербургская избирательная комиссия	Торбаев Анатолий Сергеевич	Член
ТИК № 34	Санкт-Петербургская избирательная комиссия	Тремасов Василий Михайлович	Член
ТИК № 35	Санкт-Петербургская избирательная комиссия	Маркова Надежда Петровна	Председатель
ТИК № 35	Санкт-Петербургская избирательная комиссия	Малахова Наталья Александровна	Зам.председателя
ТИК № 35	Санкт-Петербургская избирательная комиссия	Земскова Валентина Александровна	Секретарь
ТИК № 35	Санкт-Петербургская избирательная комиссия	Гайшун Виталий Александрович	Член
ТИК № 35	Санкт-Петербургская избирательная комиссия	Игнатов Виктор Юрьевич	Член
ТИК № 35	Санкт-Петербургская избирательная комиссия	Картавых Владимир Александрович	Член
ТИК № 35	Санкт-Петербургская избирательная комиссия	Колпаков Антон Викторович	Член
ТИК № 35	Санкт-Петербургская избирательная комиссия	Корган Ольга Сергеевна	Член
ТИК № 35	Санкт-Петербургская избирательная комиссия	Крылова Виктория Алексеевна	Член
ТИК № 35	Санкт-Петербургская избирательная комиссия	Малышева Екатерина Сергеевна	Член
ТИК № 35	Санкт-Петербургская избирательная комиссия	Неуймин Дмитрий Викторович	Член
ТИК № 35	Санкт-Петербургская избирательная комиссия	Пимонов Михаил Юрьевич	Член
ТИК № 35	Санкт-Петербургская избирательная комиссия	Савицкий Анатолий Викторович	Член
ТИК № 36	Санкт-Петербургская избирательная комиссия	Федорова Елена Александровна	Председатель
ТИК № 36	Санкт-Петербургская избирательная комиссия	Огарь Марина Николаевна	Зам.председателя
ТИК № 36	Санкт-Петербургская избирательная комиссия	Росс Ольга Анатольевна	Секретарь
ТИК № 36	Санкт-Петербургская избирательная комиссия	Агаркова Наталья Николаевна	Член
ТИК № 36	Санкт-Петербургская избирательная комиссия	Антонова Анна Николаевна	Член
ТИК № 36	Санкт-Петербургская избирательная комиссия	Гладущенко Эвелина Юрьевна	Член
ТИК № 36	Санкт-Петербургская избирательная комиссия	Жигаревич Евгений Михайлович	Член
ТИК № 36	Санкт-Петербургская избирательная комиссия	Кунтишев Ренат Артурович	Член
ТИК № 36	Санкт-Петербургская избирательная комиссия	Михайлов Павел Николаевич	Член
ТИК № 36	Санкт-Петербургская избирательная комиссия	Новикова Ольга Андреевна	Член
ТИК № 36	Санкт-Петербургская избирательная комиссия	Овсяникова Наталия Алексеевна	Член
ТИК № 36	Санкт-Петербургская избирательная комиссия	Ольховский Герман Васильевич	Член
ТИК № 36	Санкт-Петербургская избирательная комиссия	Цветков Кирилл Петрович	Член
ТИК № 37	Санкт-Петербургская избирательная комиссия	Листратова Наталья Григорьевна	Председатель
ТИК № 37	Санкт-Петербургская избирательная комиссия	Янус Наталья Юрьевна	Зам.председателя
ТИК № 37	Санкт-Петербургская избирательная комиссия	Попова Елена Викторовна	Секретарь
ТИК № 37	Санкт-Петербургская избирательная комиссия	Виноградов Леонид Евгеньевич	Член
ТИК № 37	Санкт-Петербургская избирательная комиссия	Игонин Денис Алексеевич	Член
ТИК № 37	Санкт-Петербургская избирательная комиссия	Качкин Александр Валентинович	Член
ТИК № 37	Санкт-Петербургская избирательная комиссия	Кошевая Ольга Леонидовна	Член
ТИК № 37	Санкт-Петербургская избирательная комиссия	Платонов Роман Викторович	Член
ТИК № 37	Санкт-Петербургская избирательная комиссия	Попов Алексей Константинович	Член
ТИК № 37	Санкт-Петербургская избирательная комиссия	Рахина Елена Николаевна	Член
ТИК № 37	Санкт-Петербургская избирательная комиссия	Романов Кирилл Александрович	Член
ТИК № 37	Санкт-Петербургская избирательная комиссия	Сексенбаев Андрей Шамилевич	Член
ТИК № 37	Санкт-Петербургская избирательная комиссия	Юдина Юнона Юрьевна	Член
ТИК № 38	Санкт-Петербургская избирательная комиссия	Пономарев Сергей Викторович	Председатель
ТИК № 38	Санкт-Петербургская избирательная комиссия	Иванов Евгений Юрьевич	Зам.председателя
ТИК № 38	Санкт-Петербургская избирательная комиссия	Павлова Наталия Анатольевна	Секретарь
ТИК № 38	Санкт-Петербургская избирательная комиссия	Васильев Александр Николаевич	Член
ТИК № 38	Санкт-Петербургская избирательная комиссия	Ильина Ольга Алексеевна	Член
ТИК № 38	Санкт-Петербургская избирательная комиссия	Киселева Полина Владимировна	Член
ТИК № 38	Санкт-Петербургская избирательная комиссия	Краснова Евгения Николаевна	Член
ТИК № 38	Санкт-Петербургская избирательная комиссия	Петухов Александр Михайлович	Член
ТИК № 38	Санкт-Петербургская избирательная комиссия	Пруссаков Сергей Вениаминович	Член
ТИК № 38	Санкт-Петербургская избирательная комиссия	Силантьев Владимир Владимирович	Член
ТИК № 38	Санкт-Петербургская избирательная комиссия	Соколова Марина Владимировна	Член
ТИК № 38	Санкт-Петербургская избирательная комиссия	Тверской Ярослав Борисович	Член
ТИК № 38	Санкт-Петербургская избирательная комиссия	Федоров Виталий Викторович	Член
ТИК № 39	Санкт-Петербургская избирательная комиссия	Тарасов Артем Юрьевич	Председатель
ТИК № 39	Санкт-Петербургская избирательная комиссия	Гедзенко Елена Владимировна	Зам.председателя
ТИК № 39	Санкт-Петербургская избирательная комиссия	Сидорова Вера Александровна	Секретарь
ТИК № 39	Санкт-Петербургская избирательная комиссия	Андрузова Людмила Васильевна	Член
ТИК № 39	Санкт-Петербургская избирательная комиссия	Архипов Дмитрий Вячеславович	Член
ТИК № 39	Санкт-Петербургская избирательная комиссия	Бидаш Татьяна Венедиктовна	Член
ТИК № 39	Санкт-Петербургская избирательная комиссия	Валиев Георгий Львович	Член
ТИК № 39	Санкт-Петербургская избирательная комиссия	Козлов Сергей Викторович	Член
ТИК № 39	Санкт-Петербургская избирательная комиссия	Павлова Аина Анатольевна	Член
ТИК № 39	Санкт-Петербургская избирательная комиссия	Пышкина Наталья Юрьевна	Член
ТИК № 39	Санкт-Петербургская избирательная комиссия	Смирнова Тамара Михайловна	Член
ТИК № 39	Санкт-Петербургская избирательная комиссия	Суздальцев Владислав Александрович	Член
ТИК № 39	Санкт-Петербургская избирательная комиссия	Ткачев Олег Николаевич	Член
ТИК № 40	Санкт-Петербургская избирательная комиссия	Морозова Александра Игоревна	Председатель
ТИК № 40	Санкт-Петербургская избирательная комиссия	Новопольцева Анастасия Викторовна	Зам.председателя
ТИК № 40	Санкт-Петербургская избирательная комиссия	Москатов Сергей Иванович	Секретарь
ТИК № 40	Санкт-Петербургская избирательная комиссия	Баревич Ирина Игоревна	Член
ТИК № 40	Санкт-Петербургская избирательная комиссия	Божков Александр Викторович	Член
ТИК № 40	Санкт-Петербургская избирательная комиссия	Головкина Светлана Валерьевна	Член
ТИК № 40	Санкт-Петербургская избирательная комиссия	Каширкин Константин Вячеславович	Член
ТИК № 40	Санкт-Петербургская избирательная комиссия	Меркулова Ольга Алексеевна	Член
ТИК № 40	Санкт-Петербургская избирательная комиссия	Новицкий Павел Сергеевич	Член
ТИК № 40	Санкт-Петербургская избирательная комиссия	Озерова Наталья Александровна	Член
ТИК № 40	Санкт-Петербургская избирательная комиссия	Суздальцев Юрий Александрович	Член
ТИК № 40	Санкт-Петербургская избирательная комиссия	Танцура Екатерина Германовна	Член
ТИК № 40	Санкт-Петербургская избирательная комиссия	Чувилин Альберт Николаевич	Член
ТИК № 41	Санкт-Петербургская избирательная комиссия	Козенко Денис Вячеславович	Председатель
ТИК № 41	Санкт-Петербургская избирательная комиссия	Олейникова Татьяна Яковлевна	Зам.председателя
ТИК № 41	Санкт-Петербургская избирательная комиссия	Николаева Ольга Вячеславовна	Секретарь
ТИК № 41	Санкт-Петербургская избирательная комиссия	Волков Алексей Павлович	Член
ТИК № 41	Санкт-Петербургская избирательная комиссия	Воронова Татьяна Викторовна	Член
ТИК № 41	Санкт-Петербургская избирательная комиссия	Дудин Николай Игнатьевич	Член
ТИК № 41	Санкт-Петербургская избирательная комиссия	Камалитдинов Артём Владимирович	Член
ТИК № 41	Санкт-Петербургская избирательная комиссия	Климшина Виктория Петровна	Член
ТИК № 41	Санкт-Петербургская избирательная комиссия	Кубий Роман Александрович	Член
ТИК № 41	Санкт-Петербургская избирательная комиссия	Кузнецов Дмитрий Александрович	Член
ТИК № 41	Санкт-Петербургская избирательная комиссия	Наумчик Юлия Викторовна	Член
ТИК № 41	Санкт-Петербургская избирательная комиссия	Строкова Елена Викторовна	Член
ТИК № 41	Санкт-Петербургская избирательная комиссия	Трубинов Дмитрий Алексеевич	Член
ТИК № 42	Санкт-Петербургская избирательная комиссия	Пикин Евгений Валерьевич	Председатель
ТИК № 42	Санкт-Петербургская избирательная комиссия	Короткова Светлана Валерьевна	Зам.председателя
ТИК № 42	Санкт-Петербургская избирательная комиссия	Лапшина Елена Николаевна	Секретарь
ТИК № 42	Санкт-Петербургская избирательная комиссия	Артюшкин Андрей Илларионович	Член
ТИК № 42	Санкт-Петербургская избирательная комиссия	Васильева Алена Михайловна	Член
ТИК № 42	Санкт-Петербургская избирательная комиссия	Городилова Юлия Сергеевна	Член
ТИК № 42	Санкт-Петербургская избирательная комиссия	Желнов Дмитрий Владимирович	Член
ТИК № 42	Санкт-Петербургская избирательная комиссия	Иванова Анна Витальевна	Член
ТИК № 42	Санкт-Петербургская избирательная комиссия	Кудинов Сергей Александрович	Член
ТИК № 42	Санкт-Петербургская избирательная комиссия	Кузнецов Николай Александрович	Член
ТИК № 42	Санкт-Петербургская избирательная комиссия	Тарасов Олег Витальевич	Член
ТИК № 42	Санкт-Петербургская избирательная комиссия	Телегин Дмитрий Алексеевич	Член
ТИК № 42	Санкт-Петербургская избирательная комиссия	Шишкин Дмитрий Геннадьевич	Член
ТИК № 43	Санкт-Петербургская избирательная комиссия	Семенов Михаил Викторович	Председатель
ТИК № 43	Санкт-Петербургская избирательная комиссия	Швец Татьяна Витальевна	Зам.председателя
ТИК № 43	Санкт-Петербургская избирательная комиссия	Наяндина Людмила Олеговна	Секретарь
ТИК № 43	Санкт-Петербургская избирательная комиссия	Аристов Артем Андреевич	Член
ТИК № 43	Санкт-Петербургская избирательная комиссия	Богданова Анна Павловна	Член
ТИК № 43	Санкт-Петербургская избирательная комиссия	Возмителенко Светлана Александровна	Член
ТИК № 43	Санкт-Петербургская избирательная комиссия	Едунова Наталья Васильевна	Член
ТИК № 43	Санкт-Петербургская избирательная комиссия	Ивашко Татьяна Павловна	Член
ТИК № 43	Санкт-Петербургская избирательная комиссия	Иволга Раиса Семеновна	Член
ТИК № 43	Санкт-Петербургская избирательная комиссия	Кудрявцев Николай Львович	Член
ТИК № 43	Санкт-Петербургская избирательная комиссия	Медведовская Татьяна Павловна	Член
ТИК № 43	Санкт-Петербургская избирательная комиссия	Терентьева Юлия Леонидовна	Член
ТИК № 43	Санкт-Петербургская избирательная комиссия	Черемных Кристина Витальевна	Член
ТИК № 44	Санкт-Петербургская избирательная комиссия	Нефедова Светлана Вениаминовна	Председатель
ТИК № 44	Санкт-Петербургская избирательная комиссия	Никандрова Ольга Владиславовна	Зам.председателя
ТИК № 44	Санкт-Петербургская избирательная комиссия	Романова Любовь Михайловна	Секретарь
ТИК № 44	Санкт-Петербургская избирательная комиссия	Армаш Елена Игоревна	Член
ТИК № 44	Санкт-Петербургская избирательная комиссия	Васильева София Александровна	Член
ТИК № 44	Санкт-Петербургская избирательная комиссия	Гришин Антон Александрович	Член
ТИК № 44	Санкт-Петербургская избирательная комиссия	Могучева Анна Геннадьевна	Член
ТИК № 44	Санкт-Петербургская избирательная комиссия	Панкратьева Дарья Александровна	Член
ТИК № 44	Санкт-Петербургская избирательная комиссия	Прядко Галина Васильевна	Член
ТИК № 44	Санкт-Петербургская избирательная комиссия	Смирнов Георгий Александрович	Член
ТИК № 44	Санкт-Петербургская избирательная комиссия	Фазлиахмедова Роза Зинуровна	Член
ТИК № 44	Санкт-Петербургская избирательная комиссия	Цымбаревич Сергей Викентьевич	Член
ТИК № 44	Санкт-Петербургская избирательная комиссия	Череватенко Екатерина Андреевна	Член
ТИК № 45	Санкт-Петербургская избирательная комиссия	Суранова Лада Валерьевна	Председатель
ТИК № 45	Санкт-Петербургская избирательная комиссия	Балясников Николай Евгеньевич	Зам.председателя
ТИК № 45	Санкт-Петербургская избирательная комиссия	Дудина Марина Борисовна	Секретарь
ТИК № 45	Санкт-Петербургская избирательная комиссия	Астафьев Андрей Александрович	Член
ТИК № 45	Санкт-Петербургская избирательная комиссия	Волотина Рената Эдуардовна	Член
ТИК № 45	Санкт-Петербургская избирательная комиссия	Истомина Василиса Александровна	Член
ТИК № 45	Санкт-Петербургская избирательная комиссия	Карпов Александр Владимирович	Член
ТИК № 45	Санкт-Петербургская избирательная комиссия	Рудинская Елизавета Александровна	Член
ТИК № 45	Санкт-Петербургская избирательная комиссия	Саклаков Андрей Викторович	Член
ТИК № 45	Санкт-Петербургская избирательная комиссия	Слесарев Тимур Анисович	Член
ТИК № 45	Санкт-Петербургская избирательная комиссия	Соминский Алексей Игоревич	Член
ТИК № 45	Санкт-Петербургская избирательная комиссия	Федорова Екатерина Валерьевна	Член
ТИК № 45	Санкт-Петербургская избирательная комиссия	Ярмолич Алексей Григорьевич	Член
ТИК № 46	Санкт-Петербургская избирательная комиссия	Бобков Борис Юрьевич	Председатель
ТИК № 46	Санкт-Петербургская избирательная комиссия	Федюшев Антон Александрович	Зам.председателя
ТИК № 46	Санкт-Петербургская избирательная комиссия	Павлова Наталья Владимировна	Секретарь
ТИК № 46	Санкт-Петербургская избирательная комиссия	Ветохина Мария Геннадьевна	Член
ТИК № 46	Санкт-Петербургская избирательная комиссия	Жукова Ольга Александровна	Член
ТИК № 46	Санкт-Петербургская избирательная комиссия	Кушнир Ирина Васильевна	Член
ТИК № 46	Санкт-Петербургская избирательная комиссия	Олексенко Олег Александрович	Член
ТИК № 46	Санкт-Петербургская избирательная комиссия	Положенцева Елена Геннадьевна	Член
ТИК № 46	Санкт-Петербургская избирательная комиссия	Полуда Мария Анатольевна	Член
ТИК № 46	Санкт-Петербургская избирательная комиссия	Случевский Владислав Евгеньевич	Член
ТИК № 46	Санкт-Петербургская избирательная комиссия	Смирнов Евгений Николаевич	Член
ТИК № 46	Санкт-Петербургская избирательная комиссия	Сыротюк Виктория Юрьевна	Член
ТИК № 46	Санкт-Петербургская избирательная комиссия	Тимошенкова Елена Михайловна	Член
ТИК № 47	Санкт-Петербургская избирательная комиссия	Тюленева Елена Алексеевна	Председатель
ТИК № 47	Санкт-Петербургская избирательная комиссия	Корхалев Валерий Сергеевич	Зам.председателя
ТИК № 47	Санкт-Петербургская избирательная комиссия	Трескунова Елена Владимировна	Секретарь
ТИК № 47	Санкт-Петербургская избирательная комиссия	Азарян Ольга Евгеньевна	Член
ТИК № 47	Санкт-Петербургская избирательная комиссия	Аксенов Игорь Владиславович	Член
ТИК № 47	Санкт-Петербургская избирательная комиссия	Богданова Анна Викторовна	Член
ТИК № 47	Санкт-Петербургская избирательная комиссия	Казаков Владимир Викторович	Член
ТИК № 47	Санкт-Петербургская избирательная комиссия	Красильников Алексей Сергеевич	Член
ТИК № 47	Санкт-Петербургская избирательная комиссия	Матиенко Елена Сергеевна	Член
ТИК № 47	Санкт-Петербургская избирательная комиссия	Румянцев Николай Анатольевич	Член
ТИК № 47	Санкт-Петербургская избирательная комиссия	Сандурский Артем Викторович	Член
ТИК № 47	Санкт-Петербургская избирательная комиссия	Стрельцова Мария Вячеславовна	Член
ТИК № 47	Санкт-Петербургская избирательная комиссия	Шипулина Ксения Вячеславовна	Член
ТИК № 48	Санкт-Петербургская избирательная комиссия	Доильницын Анатолий Анатольевич	Председатель
ТИК № 48	Санкт-Петербургская избирательная комиссия	Шмелев Петр Владимирович	Зам.председателя
ТИК № 48	Санкт-Петербургская избирательная комиссия	Самойленко Елена Анатольевна	Секретарь
ТИК № 48	Санкт-Петербургская избирательная комиссия	Акопов Давид Владимирович	Член
ТИК № 48	Санкт-Петербургская избирательная комиссия	Белик Александр Николаевич	Член
ТИК № 48	Санкт-Петербургская избирательная комиссия	Вересова Юлия Вячеславовна	Член
ТИК № 48	Санкт-Петербургская избирательная комиссия	Владимиров Денис Михайлович	Член
ТИК № 48	Санкт-Петербургская избирательная комиссия	Герболинская Нина Владимировна	Член
ТИК № 48	Санкт-Петербургская избирательная комиссия	Лалочкин Михаил Михайлович	Член
ТИК № 48	Санкт-Петербургская избирательная комиссия	Новиков Денис Владимирович	Член
ТИК № 48	Санкт-Петербургская избирательная комиссия	Петров Юрий Николаевич	Член
ТИК № 48	Санкт-Петербургская избирательная комиссия	Романова Анастасия Сергеевна	Член
ТИК № 48	Санкт-Петербургская избирательная комиссия	Тоичкин Алексей Николаевич	Член
ТИК № 49	Санкт-Петербургская избирательная комиссия	Талятов Анатолий Ибрагимович	Председатель
ТИК № 49	Санкт-Петербургская избирательная комиссия	Пухов Сергей Владимирович	Зам.председателя
ТИК № 49	Санкт-Петербургская избирательная комиссия	Гагиева Евгения Сергеевна	Секретарь
ТИК № 49	Санкт-Петербургская избирательная комиссия	Гусева Мария Николаевна	Член
ТИК № 49	Санкт-Петербургская избирательная комиссия	Дружинина Олеся Владимировна	Член
ТИК № 49	Санкт-Петербургская избирательная комиссия	Комаров Владимир Александрович	Член
ТИК № 49	Санкт-Петербургская избирательная комиссия	Лосев Андрей Сергеевич	Член
ТИК № 49	Санкт-Петербургская избирательная комиссия	Маркелова Елена Леонидовна	Член
ТИК № 49	Санкт-Петербургская избирательная комиссия	Пыхов Дмитрий Николаевич	Член
ТИК № 49	Санкт-Петербургская избирательная комиссия	Стогниев Андрей Александрович	Член
ТИК № 49	Санкт-Петербургская избирательная комиссия	Харланова Юлия Александровна	Член
ТИК № 49	Санкт-Петербургская избирательная комиссия	Шанин Виктор Владимирович	Член
ТИК № 49	Санкт-Петербургская избирательная комиссия	Яблонский Андрей Николаевич	Член
ТИК № 50	Санкт-Петербургская избирательная комиссия	Чаплыгин Виктор Васильевич	Председатель
ТИК № 50	Санкт-Петербургская избирательная комиссия	Семченков Александр Александрович	Зам.председателя
ТИК № 50	Санкт-Петербургская избирательная комиссия	Гурын Сергей Валентинович	Секретарь
ТИК № 50	Санкт-Петербургская избирательная комиссия	Воробьев Филипп Олегович	Член
ТИК № 50	Санкт-Петербургская избирательная комиссия	Григоржевская Вероника Евгеньевна	Член
ТИК № 50	Санкт-Петербургская избирательная комиссия	Дмитриев Михаил Дмитриевич	Член
ТИК № 50	Санкт-Петербургская избирательная комиссия	Дмитриев Павел Алексеевич	Член
ТИК № 50	Санкт-Петербургская избирательная комиссия	Карамышев Эрик Эрнестович	Член
ТИК № 50	Санкт-Петербургская избирательная комиссия	Михайлова Юлия Юрьевна	Член
ТИК № 50	Санкт-Петербургская избирательная комиссия	Натолочная Юлия Александровна	Член
ТИК № 50	Санкт-Петербургская избирательная комиссия	Садулаев Герман Умаралиевич	Член
ТИК № 50	Санкт-Петербургская избирательная комиссия	Шинкоренко Денис Геннадьевич	Член
ТИК № 50	Санкт-Петербургская избирательная комиссия	Шульгин Антон Игоревич	Член
ТИК № 51	Санкт-Петербургская избирательная комиссия	Окунев Павел Павлович	Председатель
ТИК № 51	Санкт-Петербургская избирательная комиссия	Коваленко Денис Викторович	Зам.председателя
ТИК № 51	Санкт-Петербургская избирательная комиссия	Казеннова Антонина Сергеевна	Секретарь
ТИК № 51	Санкт-Петербургская избирательная комиссия	Абрамова Диана Викторовна	Член
ТИК № 51	Санкт-Петербургская избирательная комиссия	Барбаняга Дарья Евгеньевна	Член
ТИК № 51	Санкт-Петербургская избирательная комиссия	Барсукова Варвара Антоновна	Член
ТИК № 51	Санкт-Петербургская избирательная комиссия	Иванова Ольга Михайловна	Член
ТИК № 51	Санкт-Петербургская избирательная комиссия	Кольцов Александр Андреевич	Член
ТИК № 51	Санкт-Петербургская избирательная комиссия	Могильницкий Игорь Русланович	Член
ТИК № 51	Санкт-Петербургская избирательная комиссия	Осетров Павел Васильевич	Член
ТИК № 51	Санкт-Петербургская избирательная комиссия	Петухов Михаил Иванович	Член
ТИК № 51	Санкт-Петербургская избирательная комиссия	Сорокин Андрей Юрьевич	Член
ТИК № 51	Санкт-Петербургская избирательная комиссия	Щигель Алина Вячеславовна	Член
ТИК № 52	Санкт-Петербургская избирательная комиссия	Антонович Лилиана Анатольевна	Председатель
ТИК № 52	Санкт-Петербургская избирательная комиссия	Яковлев Андрей Андреевич	Зам.председателя
ТИК № 52	Санкт-Петербургская избирательная комиссия	Марков Андрей Евгеньевич	Секретарь
ТИК № 52	Санкт-Петербургская избирательная комиссия	Дьяков Алексей Васильевич	Член
ТИК № 52	Санкт-Петербургская избирательная комиссия	Куницын Дмитрий Евгеньевич	Член
ТИК № 52	Санкт-Петербургская избирательная комиссия	Ларютин Анатолий Анатольевич	Член
ТИК № 52	Санкт-Петербургская избирательная комиссия	Латышева Юлия Вадимовна	Член
ТИК № 52	Санкт-Петербургская избирательная комиссия	Ломакина Алина Сергеевна	Член
ТИК № 52	Санкт-Петербургская избирательная комиссия	Маркова Вера Александровна	Член
ТИК № 52	Санкт-Петербургская избирательная комиссия	Меньшиков Дмитрий Игоревич	Член
ТИК № 52	Санкт-Петербургская избирательная комиссия	Новикова Алина Олеговна	Член
ТИК № 52	Санкт-Петербургская избирательная комиссия	Полькин Николай Федотович	Член
ТИК № 52	Санкт-Петербургская избирательная комиссия	Тихомирова Анастасия Сергеевна	Член
ТИК № 53	Санкт-Петербургская избирательная комиссия	Дрозд Анна Геннадьевна	Председатель
ТИК № 53	Санкт-Петербургская избирательная комиссия	Шкандыбин Илья Николаевич	Зам.председателя
ТИК № 53	Санкт-Петербургская избирательная комиссия	Артюхова Оксана Валерьевна	Секретарь
ТИК № 53	Санкт-Петербургская избирательная комиссия	Вараксина Ольга Сергеевна	Член
ТИК № 53	Санкт-Петербургская избирательная комиссия	Долгий Анатолий Евгеньевич	Член
ТИК № 53	Санкт-Петербургская избирательная комиссия	Одинцов Максим Владимирович	Член
ТИК № 53	Санкт-Петербургская избирательная комиссия	Паницев Михаил Дмитриевич	Член
ТИК № 53	Санкт-Петербургская избирательная комиссия	Плюснин Максим Васильевич	Член
ТИК № 53	Санкт-Петербургская избирательная комиссия	Романенко Надежда Андреевна	Член
ТИК № 53	Санкт-Петербургская избирательная комиссия	Севастьянов Сергей Николаевич	Член
ТИК № 53	Санкт-Петербургская избирательная комиссия	Седышева Наталья Борисовна	Член
ТИК № 53	Санкт-Петербургская избирательная комиссия	Слободинский Илья Евгеньевич	Член
ТИК № 53	Санкт-Петербургская избирательная комиссия	Шаламеева Людмила Борисовна	Член
ТИК № 54	Санкт-Петербургская избирательная комиссия	Соколовский Андрей Анатольевич	Председатель
ТИК № 54	Санкт-Петербургская избирательная комиссия	Дубовская Люсьена Юрьевна	Зам.председателя
ТИК № 54	Санкт-Петербургская избирательная комиссия	Пашко Марина Валерьевна	Секретарь
ТИК № 54	Санкт-Петербургская избирательная комиссия	Аведов Амаяк Тигранович	Член
ТИК № 54	Санкт-Петербургская избирательная комиссия	Андерсон Илона Ильинична	Член
ТИК № 54	Санкт-Петербургская избирательная комиссия	Волокитин Владимир Евгеньевич	Член
ТИК № 54	Санкт-Петербургская избирательная комиссия	Гроза Валерия Александровна	Член
ТИК № 54	Санкт-Петербургская избирательная комиссия	Киореско Лилия Анатольевна	Член
ТИК № 54	Санкт-Петербургская избирательная комиссия	Краснова Ангелина Валерьевна	Член
ТИК № 54	Санкт-Петербургская избирательная комиссия	Приходько Ирина Юрьевна	Член
ТИК № 54	Санкт-Петербургская избирательная комиссия	Садыков Илья Ринарович	Член
ТИК № 54	Санкт-Петербургская избирательная комиссия	Хмелевская Ольга Юрьевна	Член
ТИК № 54	Санкт-Петербургская избирательная комиссия	Шмаков Михаил Владимирович	Член
ТИК № 55	Санкт-Петербургская избирательная комиссия	Ананько Марина Викторовна	Председатель
ТИК № 55	Санкт-Петербургская избирательная комиссия	Евсеев Вадим Иванович	Зам.председателя
ТИК № 55	Санкт-Петербургская избирательная комиссия	Коновалов Глеб Вадимович	Секретарь
ТИК № 55	Санкт-Петербургская избирательная комиссия	Анкудинов Юрий Владимирович	Член
ТИК № 55	Санкт-Петербургская избирательная комиссия	Антропова Елизавета Григорьевна	Член
ТИК № 55	Санкт-Петербургская избирательная комиссия	Воробьёва Ольга Владимировна	Член
ТИК № 55	Санкт-Петербургская избирательная комиссия	Доронин Владимир Ильич	Член
ТИК № 55	Санкт-Петербургская избирательная комиссия	Коршунова Елена Юрьевна	Член
ТИК № 55	Санкт-Петербургская избирательная комиссия	Крушинский Сергей Вячеславович	Член
ТИК № 55	Санкт-Петербургская избирательная комиссия	Орышкевич Эдуард Константинович	Член
ТИК № 55	Санкт-Петербургская избирательная комиссия	Полякова Татьяна Николаевна	Член
ТИК № 55	Санкт-Петербургская избирательная комиссия	Шульгина Ирина Валентиновна	Член
ТИК № 56	Санкт-Петербургская избирательная комиссия	Журов Евгений Юрьевич	Председатель
ТИК № 56	Санкт-Петербургская избирательная комиссия	Маслюков-Малов Михаил Сергеевич	Зам.председателя
